#chipID,i_n[efficiency]
1,18,0.0001001,0.0001002,0.0001003,0.0001004,0.0001005,0.0001006,0.0001007,0.0001008,0.0001009,0.0001010,0.0001011,0.0001012,0.0001013,0.0001014,0.0001015,0.0001016,0.0001017,0.0001018
2,18,0.0002001,0.0002002,0.0002003,0.0002004,0.0002005,0.0002006,0.0002007,0.0002008,0.0002009,0.0002010,0.0002011,0.0002012,0.0002013,0.0002014,0.0002015,0.0002016,0.0002017,0.0002018
3,18,0.0003001,0.0003002,0.0003003,0.0003004,0.0003005,0.0003006,0.0003007,0.0003008,0.0003009,0.0003010,0.0003011,0.0003012,0.0003013,0.0003014,0.0003015,0.0003016,0.0003017,0.0003018
4,18,0.0004001,0.0004002,0.0004003,0.0004004,0.0004005,0.0004006,0.0004007,0.0004008,0.0004009,0.0004010,0.0004011,0.0004012,0.0004013,0.0004014,0.0004015,0.0004016,0.0004017,0.0004018
5,18,0.0005001,0.0005002,0.0005003,0.0005004,0.0005005,0.0005006,0.0005007,0.0005008,0.0005009,0.0005010,0.0005011,0.0005012,0.0005013,0.0005014,0.0005015,0.0005016,0.0005017,0.0005018
6,18,0.0006001,0.0006002,0.0006003,0.0006004,0.0006005,0.0006006,0.0006007,0.0006008,0.0006009,0.0006010,0.0006011,0.0006012,0.0006013,0.0006014,0.0006015,0.0006016,0.0006017,0.0006018
33,18,0.0033001,0.0033002,0.0033003,0.0033004,0.0033005,0.0033006,0.0033007,0.0033008,0.0033009,0.0033010,0.0033011,0.0033012,0.0033013,0.0033014,0.0033015,0.0033016,0.0033017,0.0033018
34,18,0.0034001,0.0034002,0.0034003,0.0034004,0.0034005,0.0034006,0.0034007,0.0034008,0.0034009,0.0034010,0.0034011,0.0034012,0.0034013,0.0034014,0.0034015,0.0034016,0.0034017,0.0034018
35,18,0.0035001,0.0035002,0.0035003,0.0035004,0.0035005,0.0035006,0.0035007,0.0035008,0.0035009,0.0035010,0.0035011,0.0035012,0.0035013,0.0035014,0.0035015,0.0035016,0.0035017,0.0035018
36,18,0.0036001,0.0036002,0.0036003,0.0036004,0.0036005,0.0036006,0.0036007,0.0036008,0.0036009,0.0036010,0.0036011,0.0036012,0.0036013,0.0036014,0.0036015,0.0036016,0.0036017,0.0036018
37,18,0.0037001,0.0037002,0.0037003,0.0037004,0.0037005,0.0037006,0.0037007,0.0037008,0.0037009,0.0037010,0.0037011,0.0037012,0.0037013,0.0037014,0.0037015,0.0037016,0.0037017,0.0037018
38,18,0.0038001,0.0038002,0.0038003,0.0038004,0.0038005,0.0038006,0.0038007,0.0038008,0.0038009,0.0038010,0.0038011,0.0038012,0.0038013,0.0038014,0.0038015,0.0038016,0.0038017,0.0038018
65,18,0.0065001,0.0065002,0.0065003,0.0065004,0.0065005,0.0065006,0.0065007,0.0065008,0.0065009,0.0065010,0.0065011,0.0065012,0.0065013,0.0065014,0.0065015,0.0065016,0.0065017,0.0065018
66,18,0.0066001,0.0066002,0.0066003,0.0066004,0.0066005,0.0066006,0.0066007,0.0066008,0.0066009,0.0066010,0.0066011,0.0066012,0.0066013,0.0066014,0.0066015,0.0066016,0.0066017,0.0066018
67,18,0.0067001,0.0067002,0.0067003,0.0067004,0.0067005,0.0067006,0.0067007,0.0067008,0.0067009,0.0067010,0.0067011,0.0067012,0.0067013,0.0067014,0.0067015,0.0067016,0.0067017,0.0067018
68,18,0.0068001,0.0068002,0.0068003,0.0068004,0.0068005,0.0068006,0.0068007,0.0068008,0.0068009,0.0068010,0.0068011,0.0068012,0.0068013,0.0068014,0.0068015,0.0068016,0.0068017,0.0068018
69,18,0.0069001,0.0069002,0.0069003,0.0069004,0.0069005,0.0069006,0.0069007,0.0069008,0.0069009,0.0069010,0.0069011,0.0069012,0.0069013,0.0069014,0.0069015,0.0069016,0.0069017,0.0069018
70,18,0.0070001,0.0070002,0.0070003,0.0070004,0.0070005,0.0070006,0.0070007,0.0070008,0.0070009,0.0070010,0.0070011,0.0070012,0.0070013,0.0070014,0.0070015,0.0070016,0.0070017,0.0070018
97,18,0.0097001,0.0097002,0.0097003,0.0097004,0.0097005,0.0097006,0.0097007,0.0097008,0.0097009,0.0097010,0.0097011,0.0097012,0.0097013,0.0097014,0.0097015,0.0097016,0.0097017,0.0097018
98,18,0.0098001,0.0098002,0.0098003,0.0098004,0.0098005,0.0098006,0.0098007,0.0098008,0.0098009,0.0098010,0.0098011,0.0098012,0.0098013,0.0098014,0.0098015,0.0098016,0.0098017,0.0098018
99,18,0.0099001,0.0099002,0.0099003,0.0099004,0.0099005,0.0099006,0.0099007,0.0099008,0.0099009,0.0099010,0.0099011,0.0099012,0.0099013,0.0099014,0.0099015,0.0099016,0.0099017,0.0099018
100,18,0.0100001,0.0100002,0.0100003,0.0100004,0.0100005,0.0100006,0.0100007,0.0100008,0.0100009,0.0100010,0.0100011,0.0100012,0.0100013,0.0100014,0.0100015,0.0100016,0.0100017,0.0100018
101,18,0.0101001,0.0101002,0.0101003,0.0101004,0.0101005,0.0101006,0.0101007,0.0101008,0.0101009,0.0101010,0.0101011,0.0101012,0.0101013,0.0101014,0.0101015,0.0101016,0.0101017,0.0101018
102,18,0.0102001,0.0102002,0.0102003,0.0102004,0.0102005,0.0102006,0.0102007,0.0102008,0.0102009,0.0102010,0.0102011,0.0102012,0.0102013,0.0102014,0.0102015,0.0102016,0.0102017,0.0102018
129,18,0.0129001,0.0129002,0.0129003,0.0129004,0.0129005,0.0129006,0.0129007,0.0129008,0.0129009,0.0129010,0.0129011,0.0129012,0.0129013,0.0129014,0.0129015,0.0129016,0.0129017,0.0129018
130,18,0.0130001,0.0130002,0.0130003,0.0130004,0.0130005,0.0130006,0.0130007,0.0130008,0.0130009,0.0130010,0.0130011,0.0130012,0.0130013,0.0130014,0.0130015,0.0130016,0.0130017,0.0130018
131,18,0.0131001,0.0131002,0.0131003,0.0131004,0.0131005,0.0131006,0.0131007,0.0131008,0.0131009,0.0131010,0.0131011,0.0131012,0.0131013,0.0131014,0.0131015,0.0131016,0.0131017,0.0131018
132,18,0.0132001,0.0132002,0.0132003,0.0132004,0.0132005,0.0132006,0.0132007,0.0132008,0.0132009,0.0132010,0.0132011,0.0132012,0.0132013,0.0132014,0.0132015,0.0132016,0.0132017,0.0132018
133,18,0.0133001,0.0133002,0.0133003,0.0133004,0.0133005,0.0133006,0.0133007,0.0133008,0.0133009,0.0133010,0.0133011,0.0133012,0.0133013,0.0133014,0.0133015,0.0133016,0.0133017,0.0133018
134,18,0.0134001,0.0134002,0.0134003,0.0134004,0.0134005,0.0134006,0.0134007,0.0134008,0.0134009,0.0134010,0.0134011,0.0134012,0.0134013,0.0134014,0.0134015,0.0134016,0.0134017,0.0134018
161,18,0.0161001,0.0161002,0.0161003,0.0161004,0.0161005,0.0161006,0.0161007,0.0161008,0.0161009,0.0161010,0.0161011,0.0161012,0.0161013,0.0161014,0.0161015,0.0161016,0.0161017,0.0161018
162,18,0.0162001,0.0162002,0.0162003,0.0162004,0.0162005,0.0162006,0.0162007,0.0162008,0.0162009,0.0162010,0.0162011,0.0162012,0.0162013,0.0162014,0.0162015,0.0162016,0.0162017,0.0162018
163,18,0.0163001,0.0163002,0.0163003,0.0163004,0.0163005,0.0163006,0.0163007,0.0163008,0.0163009,0.0163010,0.0163011,0.0163012,0.0163013,0.0163014,0.0163015,0.0163016,0.0163017,0.0163018
164,18,0.0164001,0.0164002,0.0164003,0.0164004,0.0164005,0.0164006,0.0164007,0.0164008,0.0164009,0.0164010,0.0164011,0.0164012,0.0164013,0.0164014,0.0164015,0.0164016,0.0164017,0.0164018
165,18,0.0165001,0.0165002,0.0165003,0.0165004,0.0165005,0.0165006,0.0165007,0.0165008,0.0165009,0.0165010,0.0165011,0.0165012,0.0165013,0.0165014,0.0165015,0.0165016,0.0165017,0.0165018
166,18,0.0166001,0.0166002,0.0166003,0.0166004,0.0166005,0.0166006,0.0166007,0.0166008,0.0166009,0.0166010,0.0166011,0.0166012,0.0166013,0.0166014,0.0166015,0.0166016,0.0166017,0.0166018
193,18,0.0193001,0.0193002,0.0193003,0.0193004,0.0193005,0.0193006,0.0193007,0.0193008,0.0193009,0.0193010,0.0193011,0.0193012,0.0193013,0.0193014,0.0193015,0.0193016,0.0193017,0.0193018
194,18,0.0194001,0.0194002,0.0194003,0.0194004,0.0194005,0.0194006,0.0194007,0.0194008,0.0194009,0.0194010,0.0194011,0.0194012,0.0194013,0.0194014,0.0194015,0.0194016,0.0194017,0.0194018
195,18,0.0195001,0.0195002,0.0195003,0.0195004,0.0195005,0.0195006,0.0195007,0.0195008,0.0195009,0.0195010,0.0195011,0.0195012,0.0195013,0.0195014,0.0195015,0.0195016,0.0195017,0.0195018
196,18,0.0196001,0.0196002,0.0196003,0.0196004,0.0196005,0.0196006,0.0196007,0.0196008,0.0196009,0.0196010,0.0196011,0.0196012,0.0196013,0.0196014,0.0196015,0.0196016,0.0196017,0.0196018
197,18,0.0197001,0.0197002,0.0197003,0.0197004,0.0197005,0.0197006,0.0197007,0.0197008,0.0197009,0.0197010,0.0197011,0.0197012,0.0197013,0.0197014,0.0197015,0.0197016,0.0197017,0.0197018
198,18,0.0198001,0.0198002,0.0198003,0.0198004,0.0198005,0.0198006,0.0198007,0.0198008,0.0198009,0.0198010,0.0198011,0.0198012,0.0198013,0.0198014,0.0198015,0.0198016,0.0198017,0.0198018
225,18,0.0225001,0.0225002,0.0225003,0.0225004,0.0225005,0.0225006,0.0225007,0.0225008,0.0225009,0.0225010,0.0225011,0.0225012,0.0225013,0.0225014,0.0225015,0.0225016,0.0225017,0.0225018
226,18,0.0226001,0.0226002,0.0226003,0.0226004,0.0226005,0.0226006,0.0226007,0.0226008,0.0226009,0.0226010,0.0226011,0.0226012,0.0226013,0.0226014,0.0226015,0.0226016,0.0226017,0.0226018
227,18,0.0227001,0.0227002,0.0227003,0.0227004,0.0227005,0.0227006,0.0227007,0.0227008,0.0227009,0.0227010,0.0227011,0.0227012,0.0227013,0.0227014,0.0227015,0.0227016,0.0227017,0.0227018
228,18,0.0228001,0.0228002,0.0228003,0.0228004,0.0228005,0.0228006,0.0228007,0.0228008,0.0228009,0.0228010,0.0228011,0.0228012,0.0228013,0.0228014,0.0228015,0.0228016,0.0228017,0.0228018
229,18,0.0229001,0.0229002,0.0229003,0.0229004,0.0229005,0.0229006,0.0229007,0.0229008,0.0229009,0.0229010,0.0229011,0.0229012,0.0229013,0.0229014,0.0229015,0.0229016,0.0229017,0.0229018
230,18,0.0230001,0.0230002,0.0230003,0.0230004,0.0230005,0.0230006,0.0230007,0.0230008,0.0230009,0.0230010,0.0230011,0.0230012,0.0230013,0.0230014,0.0230015,0.0230016,0.0230017,0.0230018
1025,18,0.1025001,0.1025002,0.1025003,0.1025004,0.1025005,0.1025006,0.1025007,0.1025008,0.1025009,0.1025010,0.1025011,0.1025012,0.1025013,0.1025014,0.1025015,0.1025016,0.1025017,0.1025018
1026,18,0.1026001,0.1026002,0.1026003,0.1026004,0.1026005,0.1026006,0.1026007,0.1026008,0.1026009,0.1026010,0.1026011,0.1026012,0.1026013,0.1026014,0.1026015,0.1026016,0.1026017,0.1026018
1027,18,0.1027001,0.1027002,0.1027003,0.1027004,0.1027005,0.1027006,0.1027007,0.1027008,0.1027009,0.1027010,0.1027011,0.1027012,0.1027013,0.1027014,0.1027015,0.1027016,0.1027017,0.1027018
1028,18,0.1028001,0.1028002,0.1028003,0.1028004,0.1028005,0.1028006,0.1028007,0.1028008,0.1028009,0.1028010,0.1028011,0.1028012,0.1028013,0.1028014,0.1028015,0.1028016,0.1028017,0.1028018
1029,18,0.1029001,0.1029002,0.1029003,0.1029004,0.1029005,0.1029006,0.1029007,0.1029008,0.1029009,0.1029010,0.1029011,0.1029012,0.1029013,0.1029014,0.1029015,0.1029016,0.1029017,0.1029018
